Opening log at 2016-05-07 20:53:43.740342
[2016-05-07 21:17:32.405197] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.431403] <172.16.103.57:58924>: Released c
[2016-05-07 21:17:32.438616] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.464073] <172.16.103.57:58924>: Pressed c
[2016-05-07 21:17:32.484318] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.523551] <172.16.103.57:58924>: Released c
[2016-05-07 21:17:32.535031] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.672855] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.683506] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:32.711963] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.721665] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:32.791641] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:17:32.801388] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:32.814354] <172.16.103.57:58924>: Pressed s
[2016-05-07 21:17:32.830833] <172.16.103.57:58924>: Released ,
[2016-05-07 21:17:32.840973] <172.16.103.57:58924>: Released s
[2016-05-07 21:17:32.880356] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:17:32.891115] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.908346] <172.16.103.57:58924>: Released ,
[2016-05-07 21:17:32.917861] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.928825] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:32.967553] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.978141] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:32.999263] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:33.055684] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:17:33.066195] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:33.094286] <172.16.103.57:58924>: Released ,
[2016-05-07 21:17:33.105365] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:33.115856] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:33.153195] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:33.164324] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:33.223827] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:33.231056] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:33.523549] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:17:33.561791] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:33.571712] <172.16.103.57:58924>: Released ,
[2016-05-07 21:17:33.600637] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:33.790752] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:33.810631] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:33.941309] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:33.946758] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:33.999533] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:34.010700] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:34.229826] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:34.249374] <172.16.103.57:58924>: Pressed v
[2016-05-07 21:17:34.278414] <172.16.103.57:58924>: Released v
[2016-05-07 21:17:34.289034] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:34.497890] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:34.646377] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:34.996851] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:35.061676] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:35.106887] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:35.114511] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:35.144200] <172.16.103.57:58924>: Pressed y
[2016-05-07 21:17:35.154055] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:35.173667] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:35.995071] <172.16.103.57:58924>: Released y
[2016-05-07 21:17:35.995150] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:36.065561] <172.16.103.57:58924>: Pressed y
[2016-05-07 21:17:36.065652] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:36.065687] <172.16.103.57:58924>: Released y
[2016-05-07 21:17:36.065715] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:36.096846] <172.16.103.57:58924>: Pressed y
[2016-05-07 21:17:36.097068] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:36.990612] <172.16.103.57:58924>: Released y
[2016-05-07 21:17:36.990691] <172.16.103.57:58924>: Pressed 4
[2016-05-07 21:17:36.990723] <172.16.103.57:58924>: Pressed 7
[2016-05-07 21:17:37.491302] <172.16.103.57:58924>: Released 7
[2016-05-07 21:17:37.491380] <172.16.103.57:58924>: Released 4
[2016-05-07 21:17:37.991724] <172.16.103.57:58924>: Pressed 7
[2016-05-07 21:17:37.991802] <172.16.103.57:58924>: Pressed 4
[2016-05-07 21:17:37.991835] <172.16.103.57:58924>: Pressed 3
[2016-05-07 21:17:37.991862] <172.16.103.57:58924>: Released 7
[2016-05-07 21:17:38.490746] <172.16.103.57:58924>: Released 4
[2016-05-07 21:17:38.490826] <172.16.103.57:58924>: Released 3
[2016-05-07 21:17:39.777994] <172.16.103.57:58924>: Pressed 4
[2016-05-07 21:17:40.626215] <172.16.103.57:58924>: Released 4
[2016-05-07 21:17:41.074797] <172.16.103.57:58924>: Pressed 7
[2016-05-07 21:17:41.916338] <172.16.103.57:58924>: Released 7
[2016-05-07 21:17:42.024700] <172.16.103.57:58924>: Pressed 3
[2016-05-07 21:17:42.176336] <172.16.103.57:58924>: Pressed 8
[2016-05-07 21:17:42.182698] <172.16.103.57:58924>: Released 3
[2016-05-07 21:17:42.286095] <172.16.103.57:58924>: Pressed 3
[2016-05-07 21:17:42.295574] <172.16.103.57:58924>: Released 8
[2016-05-07 21:17:42.346649] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:42.441480] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:42.455153] <172.16.103.57:58924>: Released 3
[2016-05-07 21:17:42.611880] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:42.623421] <172.16.103.57:58924>: Pressed s
[2016-05-07 21:17:42.661878] <172.16.103.57:58924>: Released s
[2016-05-07 21:17:42.701449] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:42.780589] <172.16.103.57:58924>: Pressed c
[2016-05-07 21:17:42.792389] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:42.819199] <172.16.103.57:58924>: Released c
[2016-05-07 21:17:42.828871] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:43.159461] <172.16.103.57:58924>: Pressed l
[2016-05-07 21:17:43.177527] <172.16.103.57:58924>: Released l
[2016-05-07 21:17:43.337880] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:43.388339] <172.16.103.57:58924>: Pressed g
[2016-05-07 21:17:43.625094] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:43.664976] <172.16.103.57:58924>: Pressed u
[2016-05-07 21:17:43.677229] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:43.815475] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:43.824638] <172.16.103.57:58924>: Released u
[2016-05-07 21:17:43.834519] <172.16.103.57:58924>: Released g
[2016-05-07 21:17:44.162887] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:44.175201] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:44.192246] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:44.231487] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:44.912908] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:44.924794] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:44.951332] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:44.961522] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:45.080554] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:17:45.090246] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:45.109966] <172.16.103.57:58924>: Released ,
[2016-05-07 21:17:45.141289] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:45.450970] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:17:45.455691] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:45.992767] <172.16.103.57:58924>: Released ,
[2016-05-07 21:17:45.992846] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:46.494486] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:46.498490] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:46.498571] <172.16.103.57:58924>: Pressed u
[2016-05-07 21:17:46.498604] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:46.498632] <172.16.103.57:58924>: Released u
[2016-05-07 21:17:46.533937] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:46.640207] <172.16.103.57:58924>: Pressed 7
[2016-05-07 21:17:46.769595] <172.16.103.57:58924>: Released 7
[2016-05-07 21:17:46.859397] <172.16.103.57:58924>: Pressed <F4>
[2016-05-07 21:17:46.958753] <172.16.103.57:58924>: Pressed 4
[2016-05-07 21:17:47.030329] <172.16.103.57:58924>: Released 4
[2016-05-07 21:17:47.035352] <172.16.103.57:58924>: Released <F4>
[2016-05-07 21:17:47.067522] <172.16.103.57:58924>: Pressed 7
[2016-05-07 21:17:47.203933] <172.16.103.57:58924>: Released 7
[2016-05-07 21:17:47.238679] <172.16.103.57:58924>: Pressed 4
[2016-05-07 21:17:47.327340] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:47.366253] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:47.375573] <172.16.103.57:58924>: Released 4
[2016-05-07 21:17:47.996211] <172.16.103.57:58924>: Pressed 7
[2016-05-07 21:17:48.003671] <172.16.103.57:58924>: Pressed 4
[2016-05-07 21:17:48.003736] <172.16.103.57:58924>: Released 4
[2016-05-07 21:17:48.003787] <172.16.103.57:58924>: Released 7
[2016-05-07 21:17:48.003907] <172.16.103.57:58924>: Pressed 4
[2016-05-07 21:17:48.011251] <172.16.103.57:58924>: Pressed 7
[2016-05-07 21:17:48.033454] <172.16.103.57:58924>: Released 4
[2016-05-07 21:17:48.120824] <172.16.103.57:58924>: Released 7
[2016-05-07 21:17:48.210988] <172.16.103.57:58924>: Pressed t
[2016-05-07 21:17:48.399123] <172.16.103.57:58924>: Pressed u
[2016-05-07 21:17:48.410591] <172.16.103.57:58924>: Released t
[2016-05-07 21:17:48.588949] <172.16.103.57:58924>: Released u
[2016-05-07 21:17:48.626256] <172.16.103.57:58924>: Pressed g
[2016-05-07 21:17:48.776383] <172.16.103.57:58924>: Pressed u
[2016-05-07 21:17:48.794910] <172.16.103.57:58924>: Released g
[2016-05-07 21:17:48.924456] <172.16.103.57:58924>: Released u
[2016-05-07 21:17:48.964319] <172.16.103.57:58924>: Pressed g
[2016-05-07 21:17:49.133447] <172.16.103.57:58924>: Released g
[2016-05-07 21:17:49.802888] <172.16.103.57:58924>: Pressed h
[2016-05-07 21:17:50.072042] <172.16.103.57:58924>: Released h
[2016-05-07 21:17:50.221418] <172.16.103.57:58924>: Pressed h
[2016-05-07 21:17:50.303486] <172.16.103.57:58924>: Released h
[2016-05-07 21:17:50.380208] <172.16.103.57:58924>: Pressed h
[2016-05-07 21:17:50.641088] <172.16.103.57:58924>: Released h
[2016-05-07 21:17:50.781901] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:50.889534] <172.16.103.57:58924>: Pressed m
[2016-05-07 21:17:51.058944] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:51.128321] <172.16.103.57:58924>: Released m
[2016-05-07 21:17:51.306894] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:51.435479] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:51.477461] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:51.603628] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:51.614468] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:51.733010] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:51.752021] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:51.841099] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:51.899885] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:51.939239] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:52.007989] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:52.048211] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:52.266108] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:52.335386] <172.16.103.57:58924>: Pressed i
[2016-05-07 21:17:52.358028] <172.16.103.57:58924>: Released i
[2016-05-07 21:17:52.378768] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:52.423768] <172.16.103.57:58924>: Pressed k
[2016-05-07 21:17:52.433652] <172.16.103.57:58924>: Pressed i
[2016-05-07 21:17:52.483311] <172.16.103.57:58924>: Released k
[2016-05-07 21:17:53.492315] <172.16.103.57:58924>: Released i
[2016-05-07 21:17:53.492392] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:53.492425] <172.16.103.57:58924>: Pressed 3
[2016-05-07 21:17:53.492453] <172.16.103.57:58924>: Released 3
[2016-05-07 21:17:53.492479] <172.16.103.57:58924>: Pressed 3
[2016-05-07 21:17:53.545681] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:53.552559] <172.16.103.57:58924>: Released 3
[2016-05-07 21:17:53.557114] <172.16.103.57:58924>: Pressed l
[2016-05-07 21:17:53.561715] <172.16.103.57:58924>: Pressed w
[2016-05-07 21:17:53.614450] <172.16.103.57:58924>: Released l
[2016-05-07 21:17:53.654162] <172.16.103.57:58924>: Released w
[2016-05-07 21:17:53.813015] <172.16.103.57:58924>: Pressed s
[2016-05-07 21:17:53.906080] <172.16.103.57:58924>: Released s
[2016-05-07 21:17:54.075124] <172.16.103.57:58924>: Pressed .
[2016-05-07 21:17:54.115769] <172.16.103.57:58924>: Pressed [
[2016-05-07 21:17:54.199664] <172.16.103.57:58924>: Released .
[2016-05-07 21:17:54.241631] <172.16.103.57:58924>: Released [
[2016-05-07 21:17:54.508462] <172.16.103.57:58924>: Pressed <Space>
[2016-05-07 21:17:54.658906] <172.16.103.57:58924>: Released <Space>
[2016-05-07 21:17:54.768586] <172.16.103.57:58924>: Pressed <Space>
[2016-05-07 21:17:54.848786] <172.16.103.57:58924>: Released <Space>
[2016-05-07 21:17:54.949329] <172.16.103.57:58924>: Pressed <Space>
[2016-05-07 21:17:55.061186] <172.16.103.57:58924>: Released <Space>
[2016-05-07 21:17:55.139288] <172.16.103.57:58924>: Pressed <Space>
[2016-05-07 21:17:55.251618] <172.16.103.57:58924>: Released <Space>
